Time [s],Temperature [C],DutyCycle [%],Setpoint [C]
1.00135803223e-05,30.5,100.0,67.0
2.03622293472,30.5,100.0,67.0
4.05215001106,30.5,100.0,67.0
6.07021093369,30.5,100.0,67.0
8.08552193642,30.5,100.0,67.0
10.1009430885,30.5,100.0,67.0
12.1192929745,30.4,100.0,67.0
14.1339988708,30.5,100.0,67.0
16.1494128704,30.5,100.0,67.0
18.1657350063,30.5,100.0,67.0
20.1842401028,30.5,100.0,67.0
22.2009439468,30.4,100.0,67.0
24.218184948,30.5,100.0,67.0
26.2341840267,30.5,100.0,67.0
28.2517180443,30.6,100.0,67.0
30.2680718899,30.6,100.0,67.0
32.2828741074,30.6,100.0,67.0
34.2980890274,30.7,100.0,67.0
36.3136460781,30.7,100.0,67.0
38.3302559853,30.8,100.0,67.0
40.3473770618,30.7,100.0,67.0
42.363132,30.7,100.0,67.0
44.3784310818,30.6,100.0,67.0
46.3968000412,30.7,100.0,67.0
48.4122200012,30.7,100.0,67.0
50.4275410175,30.7,100.0,67.0
52.4423758984,30.6,100.0,67.0
54.4574990273,30.5,100.0,67.0
56.4731740952,30.5,100.0,67.0
58.4916300774,30.7,100.0,67.0
60.5073149204,30.6,100.0,67.0
62.522028923,30.5,100.0,67.0
64.5375580788,30.6,100.0,67.0
66.5523998737,30.7,100.0,67.0
68.5678470135,30.7,100.0,67.0
70.5823800564,30.6,100.0,67.0
72.5979449749,30.7,100.0,67.0
74.6127169132,30.8,100.0,67.0
76.6276910305,30.8,100.0,67.0
78.6435608864,30.9,100.0,67.0
80.6623179913,31.0,100.0,67.0
82.6784510612,31.0,100.0,67.0
84.6955900192,31.0,100.0,67.0
86.7124559879,31.0,100.0,67.0
88.7307939529,31.1,100.0,67.0
90.7457308769,31.1,100.0,67.0
92.7611279488,31.1,100.0,67.0
94.7774739265,31.1,100.0,67.0
96.79570508,31.1,100.0,67.0
98.8113360405,31.1,100.0,67.0
100.82880497,31.2,100.0,67.0
102.844681025,31.2,100.0,67.0
104.860336065,31.2,100.0,67.0
106.875577927,31.2,100.0,67.0
108.893639088,31.4,100.0,67.0
110.909188986,31.4,100.0,67.0
112.925302029,31.6,100.0,67.0
114.943384886,31.7,100.0,67.0
116.959316969,31.9,100.0,67.0
118.97527194,32.0,100.0,67.0
120.99219799,32.2,100.0,67.0
123.008385897,32.3,100.0,67.0
125.022990942,32.4,100.0,67.0
127.039401054,32.5,100.0,67.0
129.056619883,32.5,100.0,67.0
131.073302031,32.4,100.0,67.0
133.092135906,32.4,100.0,67.0
135.108028889,32.4,100.0,67.0
137.125835896,32.4,100.0,67.0
139.142015934,32.4,100.0,67.0
141.159981012,32.5,100.0,67.0
143.175699949,32.5,100.0,67.0
145.192466974,32.6,100.0,67.0
147.210880041,32.7,100.0,67.0
149.229049921,32.8,100.0,67.0
151.245213032,32.9,100.0,67.0
153.263396978,33.0,100.0,67.0
155.279618979,33.2,100.0,67.0
157.297024012,33.3,100.0,67.0
159.31276989,33.4,100.0,67.0
161.329009056,33.5,100.0,67.0
163.347620964,33.6,100.0,67.0
165.363446951,33.7,100.0,67.0
167.381287098,33.8,100.0,67.0
169.396709919,33.9,100.0,67.0
171.413879871,33.9,100.0,67.0
173.430991888,33.9,100.0,67.0
175.446850061,33.9,100.0,67.0
177.463466883,33.8,100.0,67.0
179.48152709,33.8,100.0,67.0
181.49928689,33.8,100.0,67.0
183.515336037,33.8,100.0,67.0
185.5300529,33.8,100.0,67.0
187.545816898,33.8,100.0,67.0
189.564478874,33.8,100.0,67.0
191.579777956,33.8,100.0,67.0
193.595547915,33.8,100.0,67.0
195.614006042,33.8,100.0,67.0
197.630198956,33.8,100.0,67.0
199.64812088,33.8,100.0,67.0
201.664259911,33.8,100.0,67.0
203.682678938,33.8,100.0,67.0
205.697822094,33.8,100.0,67.0
207.713955879,33.8,100.0,67.0
209.731568098,33.7,100.0,67.0
211.748045921,33.8,100.0,67.0
213.766066074,33.8,100.0,67.0
215.78202796,33.8,100.0,67.0
217.800230026,33.8,100.0,67.0
219.815340996,33.9,100.0,67.0
221.830348015,34.0,100.0,67.0
223.845586061,34.1,100.0,67.0
225.861413002,34.3,100.0,67.0
227.878005981,34.4,100.0,67.0
229.895761967,34.5,100.0,67.0
231.913013935,34.7,100.0,67.0
233.929964066,34.8,100.0,67.0
235.945489883,35.0,100.0,67.0
237.963675022,35.1,100.0,67.0
239.979868889,35.3,100.0,67.0
241.997667074,35.4,100.0,67.0
244.016525984,35.5,100.0,67.0
246.032896996,35.6,100.0,67.0
248.048608065,35.7,100.0,67.0
250.06626296,35.8,100.0,67.0
252.082422972,35.9,100.0,67.0
254.097893,36.0,100.0,67.0
256.115381956,36.1,100.0,67.0
258.131433964,36.2,100.0,67.0
260.14695096,36.2,100.0,67.0
262.162482023,36.3,100.0,67.0
264.18117094,36.4,100.0,67.0
266.19726491,36.5,100.0,67.0
268.214790106,36.5,100.0,67.0
270.230634928,36.6,100.0,67.0
272.245994091,36.6,100.0,67.0
274.261389017,36.6,100.0,67.0
276.279228926,36.6,100.0,67.0
278.295860052,36.6,100.0,67.0
280.314030886,36.7,100.0,67.0
282.330147982,36.7,100.0,67.0
284.347805977,36.7,100.0,67.0
286.363873959,36.8,100.0,67.0
288.379082918,36.8,100.0,67.0
290.394607067,36.8,100.0,67.0
292.412512064,36.9,100.0,67.0
294.429866076,36.8,100.0,67.0
296.447874069,36.8,100.0,67.0
298.463639021,36.8,100.0,67.0
300.482259035,36.9,100.0,67.0
302.497792959,37.0,100.0,67.0
304.515193939,37.1,100.0,67.0
306.531235933,37.2,100.0,67.0
308.54668498,37.2,100.0,67.0
310.562320948,37.3,100.0,67.0
312.580868959,37.3,100.0,67.0
314.596687078,37.3,100.0,67.0
316.61480093,37.3,100.0,67.0
318.630300999,37.3,100.0,67.0
320.645530939,37.3,100.0,67.0
322.66090703,37.4,100.0,67.0
324.675991058,37.4,100.0,67.0
326.690834999,37.4,100.0,67.0
328.705631971,37.5,100.0,67.0
330.722446918,37.5,100.0,67.0
332.740556955,37.6,100.0,67.0
334.756361961,37.7,100.0,67.0
336.774653912,37.9,100.0,67.0
338.789875984,38.0,100.0,67.0
340.804440022,38.0,100.0,67.0
342.819454908,38.1,100.0,67.0
344.834569931,38.2,100.0,67.0
346.849673033,38.3,100.0,67.0
348.865390062,38.4,100.0,67.0
350.881614923,38.4,100.0,67.0
352.898901939,38.5,100.0,67.0
354.914629936,38.6,100.0,67.0
356.929738998,38.6,100.0,67.0
358.946177959,38.6,100.0,67.0
360.964204073,38.6,100.0,67.0
362.979768038,38.7,100.0,67.0
364.997704029,38.7,100.0,67.0
367.014256954,38.8,100.0,67.0
369.033314943,38.8,100.0,67.0
371.048119068,38.8,100.0,67.0
373.063226938,38.9,100.0,67.0
375.07881403,38.9,100.0,67.0
377.09678793,38.9,100.0,67.0
379.112180948,38.9,100.0,67.0
381.131181955,38.9,100.0,67.0
383.147043943,38.8,100.0,67.0
385.16279006,38.8,100.0,67.0
387.180932999,38.8,100.0,67.0
389.196938992,38.8,100.0,67.0
391.214843988,38.9,100.0,67.0
393.230098963,38.9,100.0,67.0
395.246264935,38.9,100.0,67.0
397.260736942,38.9,100.0,67.0
399.276591063,38.9,100.0,67.0
401.294532061,38.9,100.0,67.0
403.31144309,39.0,100.0,67.0
405.329878092,39.0,100.0,67.0
407.344676018,39.0,100.0,67.0
409.360312939,39.0,100.0,67.0
411.378175974,38.9,100.0,67.0
413.394231081,39.0,100.0,67.0
415.408932924,39.0,100.0,67.0
417.424102068,39.1,100.0,67.0
419.438917875,39.2,100.0,67.0
421.454854012,39.2,100.0,67.0
423.470658064,39.2,100.0,67.0
425.488837957,39.3,100.0,67.0
427.50465107,39.4,100.0,67.0
429.522162914,39.4,100.0,67.0
431.538414955,39.5,100.0,67.0
433.553894043,39.6,100.0,67.0
