Time [s],Temperature [C],DutyCycle [%],Setpoint [C]
9.05990600586e-06,94.8,100.0,95.3
2.08228707314,94.8,100.0,95.3
4.09820413589,94.8,100.0,95.3
6.11620807648,94.8,100.0,95.3
8.13213205338,94.8,100.0,95.3
10.1476540565,94.8,100.0,95.3
12.1668250561,94.8,100.0,95.3
14.1832900047,94.8,100.0,95.3
16.2005770206,94.8,100.0,95.3
18.2159199715,94.8,100.0,95.3
20.2316880226,94.3,100.0,95.3
22.2493450642,93.9,100.0,95.3
24.26532197,93.9,100.0,95.3
26.2801320553,93.9,100.0,95.3
28.2959179878,93.9,100.0,95.3
30.3170521259,94.3,100.0,95.3
32.3333740234,94.3,100.0,95.3
34.3492851257,94.8,100.0,95.3
36.364372015,94.8,100.0,95.3
38.3789660931,94.8,100.0,95.3
40.3938550949,94.8,100.0,95.3
42.4124600887,94.8,100.0,95.3
44.4291210175,94.8,100.0,95.3
46.4436640739,94.8,100.0,95.3
48.4596099854,95.3,100.0,95.3
50.4774701595,95.3,100.0,95.3
52.4932000637,95.3,100.0,95.3
54.5087900162,95.3,100.0,95.3
56.52688694,95.3,100.0,95.3
58.5425291061,95.3,100.0,95.3
60.5572719574,95.3,100.0,95.3
62.5724620819,95.3,100.0,95.3
64.5881409645,95.3,100.0,95.3
66.6040320396,95.3,100.0,95.3
68.6231899261,95.3,100.0,95.3
70.6409630775,95.3,100.0,95.3
72.6565330029,95.3,100.0,95.3
74.6719920635,95.3,100.0,95.3
76.6871449947,95.3,100.0,95.3
78.7023830414,95.3,100.0,95.3
80.7164900303,95.3,100.0,95.3
82.7330060005,95.3,100.0,95.3
84.7513599396,95.3,100.0,95.3
86.7675631046,95.3,100.0,95.3
88.7853369713,95.3,100.0,95.3
90.8018269539,95.3,100.0,95.3
92.8192329407,95.3,100.0,95.3
94.8350300789,95.3,100.0,95.3
96.8495190144,95.3,100.0,95.3
98.8654921055,95.3,100.0,95.3
100.881360054,95.3,100.0,95.3
102.899704933,95.3,100.0,95.3
104.914958954,95.3,100.0,95.3
106.930711031,95.3,100.0,95.3
108.949208021,95.3,100.0,95.3
110.96400404,95.3,100.0,95.3
112.979465008,95.3,100.0,95.3
114.994506121,95.3,100.0,95.3
117.009933949,95.3,100.0,95.3
119.025691986,95.3,100.0,95.3
121.043633938,95.3,100.0,95.3
123.058967113,95.3,100.0,95.3
125.074236155,95.3,100.0,95.3
127.090037107,95.3,100.0,95.3
129.107847929,95.3,100.0,95.3
131.123800993,95.3,100.0,95.3
133.138576984,95.3,100.0,95.3
135.153614044,95.3,100.0,95.3
137.169095993,95.3,100.0,95.3
139.185668945,95.3,100.0,95.3
141.203582048,95.3,100.0,95.3
143.219002008,95.3,100.0,95.3
145.237089157,95.3,100.0,95.3
147.252696037,94.8,100.0,95.3
149.268063068,94.8,100.0,95.3
151.283185959,94.8,100.0,95.3
153.298053026,94.8,100.0,95.3
155.312833071,94.8,100.0,95.3
157.329106092,95.3,100.0,95.3
159.346953154,95.3,100.0,95.3
161.36350894,95.3,100.0,95.3
163.382008076,95.3,100.0,95.3
165.39746213,95.3,100.0,95.3
167.415620089,95.3,100.0,95.3
169.430860996,95.3,100.0,95.3
171.445862055,95.3,100.0,95.3
173.461362123,95.3,100.0,95.3
175.477674961,95.8,100.0,95.3
177.495759964,95.3,100.0,95.3
179.511381149,95.8,100.0,95.3
181.525929928,95.3,100.0,95.3
183.542320013,95.3,100.0,95.3
185.559491158,95.3,100.0,95.3
187.57596302,95.3,100.0,95.3
189.593726158,95.3,100.0,95.3
191.611384153,95.3,100.0,95.3
193.629018068,95.3,100.0,95.3
195.64427495,95.3,100.0,95.3
197.659773111,95.3,100.0,95.3
199.675282955,95.3,100.0,95.3
201.693233013,95.3,100.0,95.3
203.708797932,95.3,100.0,95.3
205.723797083,95.3,100.0,95.3
207.739236116,95.3,100.0,95.3
209.754105091,95.3,100.0,95.3
211.770424128,95.3,100.0,95.3
213.788481951,95.3,100.0,95.3
215.804001093,95.8,100.0,95.3
217.822787046,95.3,100.0,95.3
219.838346958,95.3,100.0,95.3
221.855836153,95.3,100.0,95.3
223.872555971,95.8,100.0,95.3
225.887961149,95.8,100.0,95.3
227.906118155,95.8,100.0,95.3
229.922461987,95.8,100.0,95.3
231.941626072,95.3,100.0,95.3
233.959568024,95.3,100.0,95.3
235.975909948,95.3,100.0,95.3
237.994014025,95.3,100.0,95.3
240.009148121,95.3,100.0,95.3
242.025228024,95.3,100.0,95.3
244.043355942,95.3,100.0,95.3
246.059459925,95.3,100.0,95.3
248.074389935,95.3,100.0,95.3
250.090013027,95.3,100.0,95.3
252.108216047,95.3,100.0,95.3
254.123069048,95.3,100.0,95.3
256.138767004,95.3,100.0,95.3
258.15420413,95.3,100.0,95.3
260.172439098,95.3,100.0,95.3
262.188482046,95.8,100.0,95.3
264.20438695,95.8,100.0,95.3
266.222347021,95.8,100.0,95.3
268.237966061,95.8,100.0,95.3
270.255960941,95.8,100.0,95.3
272.271718979,95.8,100.0,95.3
274.286806107,95.8,100.0,95.3
276.302068949,95.3,100.0,95.3
278.317809105,95.3,100.0,95.3
280.33651495,95.3,100.0,95.3
282.351573944,95.3,100.0,95.3
284.367032051,95.3,100.0,95.3
286.38283205,95.3,100.0,95.3
288.400475979,95.3,100.0,95.3
290.415981054,95.3,100.0,95.3
292.431760073,95.3,100.0,95.3
294.449332952,95.3,100.0,95.3
296.465254068,95.3,100.0,95.3
298.481186152,95.3,100.0,95.3
300.499674082,95.3,100.0,95.3
302.515001059,95.3,100.0,95.3
304.530591011,95.3,100.0,95.3
306.548359156,95.3,100.0,95.3
308.564156055,95.3,100.0,95.3
310.579232931,95.3,100.0,95.3
312.594560146,95.3,100.0,95.3
314.610091925,95.8,100.0,95.3
316.628883123,95.8,100.0,95.3
