Time [s],Temperature [C],DutyCycle [%],Setpoint [C]
1.00135803223e-05,66.9,0.0,74.0
2.02787017822,66.9,0.0,74.0
4.04358005524,66.9,0.0,74.0
6.06052207947,66.9,78.81,74.0
8.73655509949,66.9,78.81,74.0
10.7513101101,66.9,78.81,74.0
12.7676050663,66.9,78.81,74.0
15.592466116,66.9,86.62,74.0
17.710062027,66.9,86.62,74.0
19.7261981964,66.9,86.62,74.0
21.744136095,66.9,86.62,74.0
23.7600660324,66.9,86.62,74.0
26.3887410164,67.2,91.1,74.0
28.7159731388,67.2,91.1,74.0
30.7314851284,67.4,91.1,74.0
32.7502760887,67.4,91.1,74.0
34.7651669979,67.4,91.1,74.0
37.6927931309,67.4,96.36,74.0
39.7093501091,67.4,96.36,74.0
41.7275371552,67.4,96.36,74.0
43.7434051037,67.4,96.36,74.0
45.7588269711,67.4,100.0,74.0
48.4983739853,67.4,100.0,74.0
50.5134680271,67.4,100.0,74.0
52.5291671753,67.4,100.0,74.0
54.5466451645,67.4,100.0,74.0
56.563090086,67.4,100.0,74.0
58.5775310993,67.4,100.0,74.0
60.5943491459,67.4,100.0,74.0
62.6127440929,67.6,100.0,74.0
64.6313011646,67.6,100.0,74.0
66.6467761993,67.8,100.0,74.0
68.6622741222,68.0,100.0,74.0
70.6800580025,68.0,100.0,74.0
72.6959030628,68.2,100.0,74.0
74.7105929852,68.2,100.0,74.0
76.7260351181,68.2,100.0,74.0
78.7422730923,68.2,100.0,74.0
80.7603280544,68.2,100.0,74.0
82.7757251263,68.2,100.0,74.0
84.7936701775,68.2,100.0,74.0
86.8098111153,68.2,100.0,74.0
88.8248751163,68.4,100.0,74.0
90.8397259712,68.4,100.0,74.0
92.8560421467,68.7,100.0,74.0
94.8734800816,68.7,100.0,74.0
96.8898620605,68.7,100.0,74.0
98.9058630466,68.7,100.0,74.0
100.924020052,68.7,100.0,74.0
102.939449072,68.7,100.0,74.0
104.955284119,68.7,100.0,74.0
106.973221064,68.9,100.0,74.0
108.988809109,68.9,100.0,74.0
111.00378418,68.9,100.0,74.0
113.018969059,68.9,100.0,74.0
115.034344196,68.9,100.0,74.0
117.050335169,68.9,100.0,74.0
119.068592072,68.9,100.0,74.0
121.083335161,68.9,100.0,74.0
123.099750042,69.1,100.0,74.0
125.117699146,69.1,100.0,74.0
127.133383989,69.1,100.0,74.0
129.148555994,69.3,100.0,74.0
131.166239023,69.3,100.0,74.0
133.183289051,69.3,100.0,74.0
135.201702118,69.6,100.0,74.0
137.216740131,69.6,100.0,74.0
139.232000113,69.8,100.0,74.0
141.247050047,69.8,100.0,74.0
143.262243986,70.0,100.0,74.0
145.278400183,70.0,100.0,74.0
147.2957232,70.0,100.0,74.0
149.310889006,70.2,100.0,74.0
151.327013969,70.2,100.0,74.0
153.342773199,70.2,100.0,74.0
155.360805988,70.0,100.0,74.0
157.376700163,70.0,100.0,74.0
159.395029068,70.0,100.0,74.0
161.410551071,70.0,100.0,74.0
163.425755978,70.2,100.0,74.0
165.440365076,70.2,100.0,74.0
167.455888987,70.2,100.0,74.0
169.471876144,70.5,100.0,74.0
171.489916086,70.5,100.0,74.0
173.50596118,70.5,100.0,74.0
175.524133205,70.7,100.0,74.0
177.539354086,70.7,100.0,74.0
179.554907084,70.7,100.0,74.0
181.569919109,70.7,100.0,74.0
183.585033178,70.9,100.0,74.0
185.600229025,70.9,100.0,74.0
187.614886045,70.9,100.0,74.0
189.631313086,70.9,100.0,74.0
191.648904085,71.2,100.0,74.0
193.66504097,71.2,100.0,74.0
195.680522203,71.4,100.0,74.0
197.698288202,71.4,100.0,74.0
199.71430707,71.7,100.0,74.0
201.729371071,71.7,100.0,74.0
203.744430065,71.7,100.0,74.0
205.759956121,71.7,100.0,74.0
207.776287079,71.9,100.0,74.0
209.794265985,71.9,100.0,74.0
211.810106039,71.9,100.0,74.0
213.827955008,72.1,100.0,74.0
215.843586206,72.1,100.0,74.0
217.858929157,72.1,100.0,74.0
219.876929998,72.4,100.0,74.0
221.892022133,72.4,100.0,74.0
223.907616138,72.4,100.0,74.0
225.923928022,72.4,100.0,74.0
227.941766024,72.4,100.0,74.0
229.958491087,72.4,100.0,74.0
231.977136135,72.4,100.0,74.0
233.991811991,72.6,100.0,74.0
236.006847143,72.6,100.0,74.0
238.022098064,72.6,100.0,74.0
240.036974192,72.6,100.0,74.0
242.051856041,72.6,100.0,74.0
244.067914009,72.6,100.0,74.0
246.086384058,72.6,100.0,74.0
248.102771997,72.6,100.0,74.0
250.120584011,72.6,100.0,74.0
252.135858059,72.9,100.0,74.0
254.151371002,72.9,100.0,74.0
256.166704178,73.1,100.0,74.0
258.18463707,73.1,100.0,74.0
260.200328112,73.1,100.0,74.0
262.216046095,73.1,100.0,74.0
264.232362986,73.1,100.0,74.0
266.24943018,73.1,100.0,74.0
268.26525712,73.1,100.0,74.0
270.281100988,73.4,100.0,74.0
272.300305128,73.4,100.0,74.0
274.317708969,73.4,100.0,74.0
276.333112001,73.4,100.0,74.0
278.348054171,73.4,100.0,74.0
280.364332199,73.4,100.0,74.0
282.380187035,73.4,100.0,74.0
284.39794302,73.6,100.0,74.0
286.413701057,73.6,100.0,74.0
288.429003,73.6,100.0,74.0
290.446916103,73.6,100.0,74.0
292.462560177,73.6,100.0,74.0
294.48143816,73.6,100.0,74.0
296.498007059,73.6,100.0,74.0
298.516592026,73.6,100.0,74.0
300.532320023,73.6,100.0,74.0
302.550345182,73.9,100.0,74.0
304.566167116,73.9,100.0,74.0
306.581933022,73.9,100.0,74.0
308.599542141,73.9,100.0,74.0
310.614804029,73.9,100.0,74.0
312.631218195,73.9,100.0,74.0
314.649689198,73.9,100.0,74.0
316.665655136,73.9,100.0,74.0
318.683573008,73.9,100.0,74.0
320.699764013,73.9,100.0,74.0
322.717755079,73.9,100.0,74.0
324.73310709,73.9,100.0,74.0
326.748401165,73.9,100.0,74.0
328.763373137,74.2,100.0,74.0
330.779443979,73.9,100.0,74.0
332.795356989,73.9,100.0,74.0
334.813156128,74.2,100.0,74.0
337.2923491,74.2,97.78,74.0
339.310388088,74.4,97.78,74.0
341.325703144,74.4,97.78,74.0
343.340713024,74.4,97.78,74.0
345.355942011,74.7,92.01,74.0
348.300786972,74.7,92.01,74.0
350.316167116,74.7,92.01,74.0
352.331079006,75.0,92.01,74.0
354.346228123,75.0,92.01,74.0
357.274944067,75.0,87.91,74.0
359.290862083,75.2,87.91,74.0
361.309030056,75.2,87.91,74.0
363.324638128,75.2,87.91,74.0
365.952319145,75.2,84.59,74.0
368.280413151,75.2,84.59,74.0
370.298521042,75.2,84.59,74.0
372.313826084,75.5,84.59,74.0
374.329913139,75.5,84.59,74.0
377.258297205,75.5,79.94,74.0
379.273815155,75.5,79.94,74.0
381.291596174,75.5,79.94,74.0
383.307404995,75.5,79.94,74.0
386.145522118,75.5,78.29,74.0
388.262898207,75.8,78.29,74.0
390.278633118,75.8,78.29,74.0
392.297502041,75.8,78.29,74.0
395.01611805,75.5,78.29,74.0
397.236163139,75.8,76.64,74.0
399.251424074,75.8,76.64,74.0
401.267683983,75.8,76.64,74.0
403.28287816,75.8,76.64,74.0
405.820979118,75.8,71.66,74.0
408.246942043,75.8,71.66,74.0
410.262382984,75.8,71.66,74.0
412.281183004,75.5,71.66,74.0
414.303544998,75.8,71.66,74.0
417.221023083,75.8,69.68,74.0
419.238054037,75.8,69.68,74.0
421.255493164,75.8,69.68,74.0
424.085039139,75.8,69.68,74.0
426.100484133,75.8,67.7,74.0
