Time [s],Temperature [C],DutyCycle [%],Setpoint [C]
3.00407409668e-05,74.2,0.0,74.0
2.02519702911,74.2,0.0,74.0
4.04015111923,74.2,0.0,74.0
6.05509805679,74.2,0.0,74.0
8.07029914856,74.2,0.0,74.0
10.0852651596,74.2,0.0,74.0
12.1001820564,74.2,0.0,74.0
14.1150290966,74.2,0.0,74.0
16.1307940483,74.2,0.0,74.0
18.1456820965,74.2,0.0,74.0
20.1601409912,73.9,0.0,74.0
22.1757919788,73.9,0.0,74.0
24.1921830177,74.2,0.0,74.0
26.2098431587,73.9,0.0,74.0
28.2262661457,74.2,0.0,74.0
30.2438161373,74.2,0.0,74.0
32.2590329647,74.2,0.0,74.0
34.274335146,74.2,0.0,74.0
36.2899360657,74.2,0.0,74.0
38.3045520782,74.2,0.0,74.0
40.3199279308,74.2,0.0,74.0
42.3351221085,74.2,0.0,74.0
44.3509979248,73.9,0.0,74.0
46.3689961433,73.9,1.11,74.0
48.8026909828,73.9,1.11,74.0
50.8179180622,73.9,1.11,74.0
52.8366191387,73.9,1.11,74.0
54.8513360023,73.9,1.11,74.0
57.7763531208,73.6,1.22,74.0
59.7912609577,73.6,1.22,74.0
61.8059589863,73.6,1.22,74.0
63.8219549656,73.6,1.22,74.0
65.8404510021,73.6,4.66,74.0
69.0839350224,73.6,4.66,74.0
71.1003229618,73.6,4.66,74.0
73.1185729504,73.6,4.66,74.0
75.1341249943,73.6,4.66,74.0
78.1608381271,73.6,5.1,74.0
80.17684412,73.6,5.1,74.0
82.1950139999,73.6,5.1,74.0
84.2111179829,73.6,5.1,74.0
86.2285649776,73.4,7.76,74.0
89.3708839417,73.4,7.76,74.0
91.3860800266,73.4,7.76,74.0
93.4029319286,73.4,7.76,74.0
95.4200510979,73.4,7.76,74.0
98.4433410168,73.4,8.42,74.0
100.458604097,73.4,8.42,74.0
102.473937035,73.4,8.42,74.0
104.492033005,73.4,8.42,74.0
106.507096052,73.4,9.08,74.0
109.550349951,73.4,9.08,74.0
