Time [s],Temperature [C],DutyCycle [%],Setpoint [C]
4.76837158203e-06,59.3,0.0,67.0
2.02554488182,59.3,0.0,67.0
4.04350686073,59.1,0.0,67.0
6.05897784233,58.9,0.0,67.0
8.07403492928,58.8,91.02,67.0
10.1920039654,58.6,91.02,67.0
12.2067978382,58.6,91.02,67.0
14.2232189178,58.8,91.02,67.0
16.240421772,58.8,91.02,67.0
18.9636468887,58.8,100.0,67.0
20.9797427654,58.8,100.0,67.0
22.9969499111,58.6,100.0,67.0
25.0138819218,58.6,100.0,67.0
27.029255867,58.6,100.0,67.0
29.0442769527,58.6,100.0,67.0
31.0590469837,58.8,100.0,67.0
33.0746598244,58.8,100.0,67.0
35.0904858112,58.8,100.0,67.0
37.1084008217,58.8,100.0,67.0
39.1236629486,58.8,100.0,67.0
41.1394939423,58.8,100.0,67.0
43.1545109749,58.8,100.0,67.0
