Time [s],Temperature [C],DutyCycle [%],Setpoint [C]
5.00679016113e-06,52.4,40.0,53.2
2.01600694656,52.5,35.0,53.2
4.03112411499,52.5,35.0,53.2
6.0463309288,52.7,25.0,53.2
8.06286001205,52.7,25.0,53.2
10.081758976,52.7,25.0,53.2
12.0997319221,52.8,20.0,53.2
14.4337251186,52.8,20.0,53.2
16.4504239559,52.7,25.0,53.2
18.6623010635,52.4,40.0,53.2
21.4958450794,52.2,50.0,53.2
23.5118579865,52.1,55.0,53.2
25.5309040546,52.2,50.0,53.2
29.0535330772,52.4,40.0,53.2
31.0712690353,52.4,40.0,53.2
33.0869560242,52.5,35.0,53.2
35.1026439667,52.5,35.0,53.2
37.1201701164,52.5,35.0,53.2
39.1363101006,52.5,35.0,53.2
41.1515390873,52.5,35.0,53.2
43.1671669483,52.8,20.0,53.2
45.1854820251,53.1,5.0,53.2
47.2008180618,53.4,0.0,53.2
49.2159929276,53.5,0.0,53.2
51.2315099239,53.7,0.0,53.2
53.2465400696,53.7,0.0,53.2
55.2619919777,53.7,0.0,53.2
57.2764420509,53.5,0.0,53.2
59.2925410271,53.4,0.0,53.2
61.3104090691,53.4,0.0,53.2
63.325633049,53.5,0.0,53.2
65.3406920433,53.5,0.0,53.2
67.3570420742,53.5,0.0,53.2
69.3753559589,53.5,0.0,53.2
71.390182972,53.5,0.0,53.2
73.4054789543,53.7,0.0,53.2
75.4209361076,53.7,0.0,53.2
77.4357879162,53.7,0.0,53.2
79.4516611099,53.7,0.0,53.2
81.4705049992,53.5,0.0,53.2
83.486426115,53.4,0.0,53.2
85.5042569637,53.2,0.0,53.2
87.5196590424,53.2,0.0,53.2
89.5346190929,53.1,5.0,53.2
91.5494179726,53.2,0.0,53.2
93.5660250187,53.2,0.0,53.2
95.5829451084,53.4,0.0,53.2
97.599118948,53.4,0.0,53.2
99.6155200005,53.4,0.0,53.2
101.633038998,53.4,0.0,53.2
103.648519993,53.4,0.0,53.2
105.664025068,53.4,0.0,53.2
107.679412127,53.2,0.0,53.2
109.694163084,53.1,5.0,53.2
111.709379911,53.1,5.0,53.2
113.723743916,53.1,5.0,53.2
115.738676071,52.9,15.0,53.2
117.753621101,52.8,20.0,53.2
119.953524113,52.7,25.0,53.2
121.968873024,52.8,20.0,53.2
123.984261036,52.8,20.0,53.2
125.99953413,52.8,20.0,53.2
128.318181038,52.9,15.0,53.2
130.335587978,53.1,5.0,53.2
132.351350069,53.1,5.0,53.2
134.367263079,53.1,5.0,53.2
136.382673979,53.1,5.0,53.2
138.402663946,52.9,15.0,53.2
140.420334101,52.7,25.0,53.2
142.435570955,52.5,35.0,53.2
144.450150013,52.4,40.0,53.2
146.678785086,52.2,50.0,53.2
148.898859024,52.2,50.0,53.2
150.914111137,52.4,40.0,53.2
152.931684971,52.4,40.0,53.2
154.947627068,52.5,35.0,53.2
156.964504957,52.5,35.0,53.2
158.982258081,52.7,25.0,53.2
160.998578072,52.7,25.0,53.2
163.016252041,52.5,35.0,53.2
165.031319141,52.4,40.0,53.2
